电影名称,电影地址,电影评分,电影类型,上映日期,国家地区
花样年华,https://movie.douban.com//subject//1291557//,8.5,"['剧情', '爱情']",['(2000)'],['香港']
比海更深,https://movie.douban.com//subject//26694988//,8.7,"['剧情', '家庭']",['(2016)'],['日本']
真爱至上,https://movie.douban.com//subject//1292401//,8.5,"['02‰§0306…', '02C0402‰§', '0403±0306…']",['(2003)'],[]
幸福终点站,https://movie.douban.com//subject//1292274//,8.7,"['剧情', '喜剧', '爱情']",['(2004)'],['美国']
初恋这件小事,https://movie.douban.com//subject//4739952//,8.3,"['剧情', '喜剧', '爱情']",['(2010)'],['泰国']
再次出发之纽约遇见你,https://movie.douban.com//subject//6874403//,8.5,"['喜剧', '爱情', '音乐']",['(2013)'],['美国']
勇士,https://movie.douban.com//subject//3217169//,8.9,"['剧情', '家庭', '运动']",['(2011)'],['美国']
地球上的星星,https://movie.douban.com//subject//2363506//,8.8,"['剧情', '家庭', '儿童']",['(2007)'],['印度']
生活多美好,https://movie.douban.com//subject//1293749//,9.2,"['剧情', '爱情', '奇幻']",['(1946)'],['美国']
电锯惊魂,https://movie.douban.com//subject//1417598//,8.7,"['悬疑', '惊悚', '恐怖']",['(2004)'],['美国']
牯岭街少年杀人事件,https://movie.douban.com//subject//1292329//,8.8,"['剧情', '犯罪']",['(1991)'],['台湾']
恋恋笔记本,https://movie.douban.com//subject//1309163//,8.5,"['剧情', '爱情']",['(2004)'],['美国']
荒野生存,https://movie.douban.com//subject//1905462//,8.6,"['剧情', '传记', '冒险']",['(2007)'],['美国']
萤火虫之墓,https://movie.douban.com//subject//1293318//,8.7,"['02‰§0306…', '0207¨04”03', '0303000102‰']",['(1988)'],[]
E.T. 外星人,https://movie.douban.com//subject//1294638//,8.5,"['剧情', '科幻']",['(1982)'],['美国']
被解救的姜戈,https://movie.douban.com//subject//6307447//,8.6,"['剧情', '动作', '西部', '冒险']",['(2012)'],['美国']
大卫・戈尔的一生,https://movie.douban.com//subject//1305725//,8.6,"['剧情', '悬疑', '犯罪']",['(2003)'],['美国 / 德国 / 英国']
人工智能,https://movie.douban.com//subject//1302827//,8.6,"['剧情', '科幻', '冒险']",['(2001)'],['美国']
东京教父,https://movie.douban.com//subject//1310177//,8.9,"['剧情', '喜剧', '动画']",['(2003)'],['日本']
千钧一发,https://movie.douban.com//subject//1300117//,8.7,"['02‰§0306…', '04§‘020103', '030607036508']",['(1997)'],[]
青蛇,https://movie.douban.com//subject//1303394//,8.4,"['剧情', '奇幻', '古装']",['(1993)'],['香港']
比利・林恩的中场战事,https://movie.douban.com//subject//25983044//,8.4,"['剧情', '战争']",['(2016)'],['美国 / 英国 / 中国大陆']
雨人,https://movie.douban.com//subject//1291870//,8.6,['02‰§0306…'],['(1988)'],[]
亲爱的,https://movie.douban.com//subject//25798222//,8.4,"['剧情', '家庭']",['(2014)'],['中国大陆 / 香港']
国王的演讲,https://movie.douban.com//subject//4023638//,8.3,"['剧情', '传记', '历史']",['(2010)'],['英国 / 澳大利亚 / 美国']
浪潮,https://movie.douban.com//subject//2297265//,8.7,"['剧情', '惊悚']",['(2008)'],['德国']
无耻混蛋,https://movie.douban.com//subject//1438652//,8.4,"['剧情', '犯罪']",['(2009)'],['美国 / 德国']
恐怖游轮,https://movie.douban.com//subject//3011051//,8.4,"['剧情', '悬疑', '惊悚']",['(2009)'],['英国 / 澳大利亚']
天书奇谭,https://movie.douban.com//subject//1428581//,9.0,['动画'],['(1983)'],['中国大陆']
撞车,https://movie.douban.com//subject//1388216//,8.6,"['剧情', '犯罪']",['(2004)'],['美国 / 德国']
彗星来的那一夜,https://movie.douban.com//subject//25807345//,8.4,"['科幻', '悬疑', '惊悚']",['(2013)'],['美国 / 英国']
是，大臣 1984圣诞特辑,https://movie.douban.com//subject//26725031//,9.8,['喜剧'],['(1984)'],['英国']
贫民窟的百万富翁,https://movie.douban.com//subject//2209573//,8.5,"['02‰§0306…', '0403±0306…']",['(2008)'],[]
莫娣,https://movie.douban.com//subject//25938803//,8.9,"['剧情', '爱情', '传记']",['(2016)'],['爱尔兰 / 加拿大']
速度与激情7,https://movie.douban.com//subject//23761370//,8.3,"['动作', '惊悚', '犯罪']",['(2015)'],['美国 / 中国大陆 / 日本']
战争之王,https://movie.douban.com//subject//1419936//,8.6,"['剧情', '犯罪']",['(2005)'],['美国 / 法国']
你看起来好像很好吃,https://movie.douban.com//subject//4848115//,8.8,"['02‰§0306…', '0207¨04”03', '026707040006']",['(2010)'],[]
驴得水,https://movie.douban.com//subject//25921812//,8.3,"['剧情', '喜剧']",['(2016)'],['中国大陆']
速度与激情5,https://movie.douban.com//subject//4286017//,8.4,"['动作', '犯罪']",['(2011)'],['美国']
秒速5厘米,https://movie.douban.com//subject//2043546//,8.3,"['剧情', '爱情', '动画']",['(2007)'],['日本']
攻壳机动队,https://movie.douban.com//subject//1291936//,8.9,"['动作', '科幻', '动画']",['(1995)'],['日本']
燃情岁月,https://movie.douban.com//subject//1295865//,8.7,"['剧情', '爱情', '家庭', '西部']",['(1994)'],['美国']
伴我同行,https://movie.douban.com//subject//1292925//,8.9,"['02‰§0306…', '026707040006', '0269’é6408']",['(1986)'],[]
海盗电台,https://movie.douban.com//subject//3007773//,8.6,"['剧情', '喜剧', '音乐']",['(2009)'],['英国 / 德国 / 法国']
阿飞正传,https://movie.douban.com//subject//1305690//,8.5,"['剧情', '爱情', '犯罪']",['(1990)'],['香港']
新龙门客栈,https://movie.douban.com//subject//1292287//,8.5,"['剧情', '动作', '武侠', '古装']",['(1992)'],['香港 / 中国大陆']
名侦探柯南：贝克街的亡灵,https://movie.douban.com//subject//2286642//,8.8,"['动画', '悬疑', '冒险']",['(2002)'],['日本']
我能说,https://movie.douban.com//subject//27000061//,8.8,['喜剧'],['(2017)'],['韩国']
穿越时空的少女,https://movie.douban.com//subject//1937946//,8.6,"['剧情', '爱情', '科幻', '动画']",['(2006)'],['日本']
2001太空漫游,https://movie.douban.com//subject//1292226//,8.7,"['科幻', '惊悚', '冒险']",['(1968)'],['英国 / 美国']
悲惨世界,https://movie.douban.com//subject//6860160//,8.5,"['剧情', '爱情', '音乐']",['(2012)'],['美国 / 英国']
猜火车,https://movie.douban.com//subject//1292528//,8.5,"['剧情', '犯罪']",['(1996)'],['英国']
末路狂花,https://movie.douban.com//subject//1291992//,8.7,"['剧情', '惊悚', '犯罪']",['(1991)'],['美国 / 法国']
银魂完结篇：直到永远的万事屋,https://movie.douban.com//subject//11615927//,9.3,"['剧情', '动画']",['(2013)'],['日本']
地下,https://movie.douban.com//subject//1292206//,9.1,"['剧情', '喜剧', '战争']",['(1995)'],['法国 / 南斯拉夫联盟共和国 / 德国']
海洋之歌,https://movie.douban.com//subject//11584019//,8.7,"['剧情', '动画', '冒险']",['(2014)'],['爱尔兰 / 丹麦 / 比利时 / 卢森堡 / 法国']
这个男人来自地球,https://movie.douban.com//subject//2300586//,8.5,"['剧情', '科幻']",['(2007)'],['美国']
冰川时代,https://movie.douban.com//subject//1291578//,8.5,"['喜剧', '动画', '冒险']",['(2002)'],['美国']
绿里奇迹,https://movie.douban.com//subject//1300374//,8.7,"['剧情', '悬疑', '犯罪', '奇幻']",['(1999)'],['美国']
洞,https://movie.douban.com//subject//1424334//,9.2,"['剧情', '惊悚', '犯罪']",['(1960)'],['法国 / 意大利']
枪火,https://movie.douban.com//subject//1300741//,8.6,"['剧情', '动作', '犯罪']",['(1999)'],['香港']
黑客帝国3：矩阵革命,https://movie.douban.com//subject//1302467//,8.5,"['动作', '科幻']",['(2003)'],['美国 / 澳大利亚']
爱・回家,https://movie.douban.com//subject//1299361//,9.0,"['剧情', '家庭']",['(2002)'],['韩国']
疯狂的麦克斯4：狂暴之路,https://movie.douban.com//subject//3592854//,8.5,"['0207¨010504', '04§‘020103', '0269’é6408']",['(2015)'],[]
至爱梵高・星空之谜,https://movie.douban.com//subject//25837262//,8.5,"['剧情', '动画', '传记']",['(2017)'],['英国 / 波兰']
沉静如海,https://movie.douban.com//subject//1769507//,9.0,"['剧情', '爱情', '战争']",['(2004)'],['法国 / 比利时']
遗愿清单,https://movie.douban.com//subject//1867345//,8.5,"['剧情', '喜剧', '冒险']",['(2007)'],['美国']
福音战士新剧场版：序,https://movie.douban.com//subject//1968790//,9.1,"['剧情', '科幻', '动画']",['(2007)'],['日本']
黑鹰坠落,https://movie.douban.com//subject//1291824//,8.6,"['动作', '历史', '战争']",['(2001)'],['美国']
刺猬的优雅,https://movie.douban.com//subject//3824274//,8.8,['剧情'],['(2009)'],['法国 / 意大利']
那些年，我们一起追的女孩,https://movie.douban.com//subject//4920528//,8.1,"['剧情', '喜剧', '爱情']",['(2011)'],['台湾']
银翼杀手2049,https://movie.douban.com//subject//10512661//,8.3,"['剧情', '科幻', '惊悚']",['(2017)'],['美国 / 加拿大 / 英国']
魔女宅急便,https://movie.douban.com//subject//1307811//,8.5,"['0207¨04”03', '020660020103', '0269’é6408']",['(1989)'],[]
犬之岛,https://movie.douban.com//subject//26640371//,8.3,"['02C0402‰§', '0207¨04”03', '0269’é6408']",['(2018)'],[]
勇闯夺命岛,https://movie.douban.com//subject//1292728//,8.6,"['动作', '冒险']",['(1996)'],['美国']
谍影重重,https://movie.douban.com//subject//1304102//,8.5,"['动作', '悬疑', '惊悚']",['(2002)'],['美国 / 德国 / 捷克']
萨利机长,https://movie.douban.com//subject//26416603//,8.3,"['剧情', '传记', '灾难']",['(2016)'],['美国']
荒岛余生,https://movie.douban.com//subject//1298653//,8.5,"['02‰§0306…', '0269’é6408']",['(2000)'],[]
叫我第一名,https://movie.douban.com//subject//4798888//,8.6,"['02‰§0306…', '0104\xa0è03°']",['(2008)'],[]
终结者2：审判日,https://movie.douban.com//subject//1291844//,8.6,"['动作', '科幻']",['(1991)'],['美国 / 法国']
朗读者,https://movie.douban.com//subject//2213597//,8.5,"['剧情', '爱情']",['(2008)'],['美国 / 德国']
少年时代,https://movie.douban.com//subject//2209575//,8.5,"['剧情', '家庭']",['(2014)'],['美国']
血钻,https://movie.douban.com//subject//1428175//,8.5,"['02‰§0306…', '030607036508', '0269’é6408']",['(2006)'],[]
香水,https://movie.douban.com//subject//1760622//,8.4,"['剧情', '犯罪', '奇幻']",['(2006)'],['德国 / 法国 / 西班牙 / 美国']
X战警：逆转未来,https://movie.douban.com//subject//10485647//,8.2,"['动作', '科幻', '冒险']",['(2014)'],['美国 / 英国']
攻壳机动队2：无罪,https://movie.douban.com//subject//1291566//,9.0,"['剧情', '科幻', '动画']",['(2004)'],['日本']
新世界,https://movie.douban.com//subject//10437779//,8.6,"['剧情', '犯罪']",['(2013)'],['韩国']
色，戒,https://movie.douban.com//subject//1828115//,8.2,"['剧情', '爱情', '情色']",['(2007)'],['台湾 / 中国大陆 / 美国 / 香港']
源代码,https://movie.douban.com//subject//3075287//,8.3,"['科幻', '悬疑', '惊悚']",['(2011)'],['美国 / 加拿大']
夏日大作战,https://movie.douban.com//subject//3908423//,8.6,"['02C0402‰§', '04§‘020103', '0207¨04”03', '0203090202\xad', '0269’é6408']",['(2009)'],[]
你逃我也逃,https://movie.douban.com//subject//1303418//,9.2,"['喜剧', '战争']",['(1942)'],['美国']
极速风流,https://movie.douban.com//subject//6803494//,8.7,"['剧情', '传记', '运动']",['(2013)'],['英国 / 美国 / 德国']
非常嫌疑犯,https://movie.douban.com//subject//1292214//,8.6,"['剧情', '悬疑', '惊悚', '犯罪']",['(1995)'],['德国 / 美国']
美国丽人,https://movie.douban.com//subject//1292062//,8.5,"['02‰§0306…', '0403±0306…', '0203090202\xad']",['(1999)'],[]
相爱相亲,https://movie.douban.com//subject//26773744//,8.4,"['剧情', '爱情', '家庭']",['(2017)'],['中国大陆 / 台湾']
嘉年华,https://movie.douban.com//subject//27019527//,8.3,['剧情'],['(2017)'],['中国大陆 / 法国']
上帝也疯狂,https://movie.douban.com//subject//1297478//,8.6,['喜剧'],['(1980)'],['博茨瓦纳 / 南非']
变脸,https://movie.douban.com//subject//1292659//,8.4,"['动作', '科幻', '惊悚', '犯罪']",['(1997)'],['美国']
奇迹,https://movie.douban.com//subject//4832288//,8.7,"['剧情', '家庭']",['(2011)'],['日本']
卡萨布兰卡,https://movie.douban.com//subject//1296753//,8.6,"['剧情', '爱情', '战争']",['(1942)'],['美国']
东邪西毒：终极版,https://movie.douban.com//subject//3726072//,8.7,"['02‰§0306…', '0207¨010504', '0403±0306…']",['(2008)'],[]
疯狂的石头,https://movie.douban.com//subject//1862151//,8.3,"['喜剧', '犯罪']",['(2006)'],['中国大陆 / 香港']
红鱼,https://movie.douban.com//subject//26266892//,9.0,"['剧情', '传记']",['(2015)'],['日本']
隐藏人物,https://movie.douban.com//subject//26615208//,8.6,"['剧情', '传记', '历史']",['(2016)'],['美国']
横道世之介,https://movie.douban.com//subject//10484041//,8.7,"['剧情', '爱情']",['(2013)'],['日本']
天才枪手,https://movie.douban.com//subject//27024903//,8.1,"['剧情', '悬疑', '犯罪']",['(2017)'],['泰国']
暴裂无声,https://movie.douban.com//subject//26647117//,8.2,"['剧情', '悬疑', '犯罪']",['(2017)'],['中国大陆']
赛德克・巴莱,https://movie.douban.com//subject//3993559//,8.7,"['剧情', '历史', '战争']",['(2011)'],['台湾']
南海十三郎,https://movie.douban.com//subject//1303913//,9.1,"['剧情', '爱情', '传记']",['(1997)'],['香港']
极品基老伴：完结篇,https://movie.douban.com//subject//26700818//,9.3,"['喜剧', '同性']",['(2016)'],['英国']
白日梦想家,https://movie.douban.com//subject//2133323//,8.3,"['剧情', '喜剧', '冒险']",['(2013)'],['美国']
坠入,https://movie.douban.com//subject//1890572//,8.8,"['剧情', '喜剧', '奇幻', '冒险']",['(2006)'],['美国 / 南非 / 印度']
十二怒汉,https://movie.douban.com//subject//10583098//,9.4,"['剧情', '悬疑', '犯罪']",['(1954)'],['美国']
万箭穿心,https://movie.douban.com//subject//10537853//,8.5,"['02‰§0306…', '0203090202\xad']",['(2012)'],[]
偷自行车的人,https://movie.douban.com//subject//1295873//,8.9,"['剧情', '犯罪']",['(1948)'],['意大利']
钢的琴,https://movie.douban.com//subject//4876722//,8.4,"['剧情', '喜剧']",['(2010)'],['中国大陆']
她,https://movie.douban.com//subject//6722879//,8.3,"['剧情', '爱情', '科幻']",['(2013)'],['美国']
金刚狼3：殊死一战,https://movie.douban.com//subject//25765735//,8.3,"['剧情', '动作', '科幻']",['(2017)'],['美国']
我的个神啊,https://movie.douban.com//subject//10741643//,8.4,"['喜剧', '奇幻']",['(2014)'],['印度']
复仇者联盟,https://movie.douban.com//subject//1866479//,8.0,"['动作', '科幻', '奇幻', '冒险']",['(2012)'],['美国']
春宵苦短，少女前进吧！,https://movie.douban.com//subject//26935251//,8.5,"['喜剧', '爱情', '动画', '奇幻']",['(2017)'],['日本']
碧海蓝天,https://movie.douban.com//subject//1300960//,8.7,"['剧情', '爱情']",['(1988)'],['法国 / 美国 / 意大利']
嫌疑人X的献身,https://movie.douban.com//subject//2369845//,8.3,"['剧情', '悬疑', '犯罪']",['(2008)'],['日本']
西游记之大圣归来,https://movie.douban.com//subject//26277313//,8.2,"['喜剧', '动作', '动画', '奇幻']",['(2015)'],['中国大陆']
莫里斯,https://movie.douban.com//subject//1293456//,8.8,"['剧情', '爱情', '同性']",['(1987)'],['英国']
斯隆女士,https://movie.douban.com//subject//26703158//,8.7,"['剧情', '惊悚']",['(2016)'],['美国 / 法国']
如父如子,https://movie.douban.com//subject//10571509//,8.5,"['剧情', '家庭']",['(2013)'],['日本']
哪啊哪啊神去村,https://movie.douban.com//subject//24741412//,8.5,"['02‰§0306…', '02C0402‰§']",['(2014)'],[]
爱你，西蒙,https://movie.douban.com//subject//26654498//,8.3,"['0403±0306…', '02170303恪']",['(2018)'],[]
发条橙,https://movie.douban.com//subject//1292233//,8.5,"['剧情', '科幻', '犯罪']",['(1971)'],['英国 / 美国']
与狼共舞,https://movie.douban.com//subject//1293764//,8.9,"['剧情', '西部', '冒险']",['(1990)'],['美国']
功夫,https://movie.douban.com//subject//1291543//,8.1,"['02C0402‰§', '0207¨010504', '040704040509', '020660020103']",['(2004)'],[]
大独裁者,https://movie.douban.com//subject//1295646//,8.9,"['剧情', '喜剧', '战争']",['(1940)'],['美国']
千年女优,https://movie.douban.com//subject//1307394//,8.6,"['剧情', '爱情', '动画']",['(2001)'],['日本']
新世纪福音战士剧场版：死与新生,https://movie.douban.com//subject//1455442//,9.2,"['剧情', '科幻', '动画']",['(1997)'],['日本']
冰雪奇缘,https://movie.douban.com//subject//4202982//,8.3,"['喜剧', '动画', '歌舞', '奇幻']",['(2013)'],['美国']
月球,https://movie.douban.com//subject//3073124//,8.5,"['剧情', '科幻', '悬疑']",['(2009)'],['英国']
土拨鼠之日,https://movie.douban.com//subject//1300613//,8.5,"['剧情', '喜剧', '爱情', '奇幻']",['(1993)'],['美国']
燕尾蝶,https://movie.douban.com//subject//1307793//,8.6,"['剧情', '犯罪']",['(1996)'],['日本']
廊桥遗梦,https://movie.douban.com//subject//1293929//,8.6,"['剧情', '爱情']",['(1995)'],['美国']
福尔摩斯二世,https://movie.douban.com//subject//1303408//,9.4,"['02C0402‰§', '020660020103']",['(1924)'],[]
英国病人,https://movie.douban.com//subject//1291853//,8.5,"['剧情', '爱情', '战争']",['(1996)'],['美国 / 英国']
穆赫兰道,https://movie.douban.com//subject//1292217//,8.3,"['剧情', '悬疑', '惊悚']",['(2001)'],['法国 / 美国']
第九区,https://movie.douban.com//subject//3006772//,8.2,"['剧情', '动作', '科幻', '惊悚']",['(2009)'],['美国 / 新西兰 / 加拿大 / 南非']
从海底出击,https://movie.douban.com//subject//1293909//,9.0,"['剧情', '历史', '战争', '冒险']",['(1981)'],['原西德']
战场上的快乐圣诞,https://movie.douban.com//subject//1303535//,8.8,"['剧情', '同性', '战争']",['(1983)'],['英国 / 日本 / 新西兰']
偷拐抢骗,https://movie.douban.com//subject//1301171//,8.5,"['喜剧', '犯罪']",['(2000)'],['英国 / 美国']
暗战,https://movie.douban.com//subject//1298898//,8.4,"['剧情', '动作', '犯罪']",['(1999)'],['香港']
血观音,https://movie.douban.com//subject//27113517//,8.2,['剧情'],['(2017)'],['台湾']
假如爱有天意,https://movie.douban.com//subject//1304073//,8.2,"['02‰§0306…', '0403±0306…']",['(2003)'],[]
少年斯派维的奇异旅行,https://movie.douban.com//subject//6985803//,8.5,"['剧情', '家庭', '冒险']",['(2013)'],['法国 / 澳大利亚 / 加拿大']
百万美元宝贝,https://movie.douban.com//subject//1309016//,8.5,"['02‰§0306…', 'è07170207¨']",['(2004)'],[]
开心家族,https://movie.douban.com//subject//6019180//,8.5,"['剧情', '喜剧', '家庭']",['(2010)'],['韩国']
相助,https://movie.douban.com//subject//3792848//,8.8,['02‰§0306…'],['(2011)'],[]
沙漠之花,https://movie.douban.com//subject//3430271//,8.7,['剧情'],['(2009)'],['英国 / 德国 / 奥地利']
无间道2,https://movie.douban.com//subject//1307106//,8.3,"['剧情', '动作', '惊悚', '犯罪']",['(2003)'],['香港']
蓝色大门,https://movie.douban.com//subject//1308575//,8.3,"['剧情', '爱情', '同性']",['(2002)'],['台湾 / 法国']
控方证人,https://movie.douban.com//subject//5294851//,9.4,"['02‰§0306…', '03650104C‘', '040704040509']",['(1982)'],[]
黑客帝国2：重装上阵,https://movie.douban.com//subject//1304141//,8.4,"['动作', '科幻']",['(2003)'],['美国 / 澳大利亚']
悲情城市,https://movie.douban.com//subject//1294194//,8.8,['剧情'],['(1989)'],['台湾 / 香港']
赛德克・巴莱(上)：太阳旗,https://movie.douban.com//subject//10450409//,8.8,"['剧情', '历史', '战争']",['(2011)'],['台湾']
盲山,https://movie.douban.com//subject//2063528//,8.4,"['剧情', '犯罪']",['(2007)'],['中国大陆']
金福南杀人事件始末,https://movie.douban.com//subject//4826419//,8.4,"['剧情', '惊悚', '犯罪']",['(2010)'],['韩国']
大红灯笼高高挂,https://movie.douban.com//subject//1293323//,8.4,"['剧情', '爱情', '历史']",['(1991)'],['中国大陆 / 香港 / 台湾']
切腹,https://movie.douban.com//subject//1304920//,9.2,['02‰§0306…'],['(1962)'],[]
城南旧事,https://movie.douban.com//subject//1300894//,8.8,['剧情'],['(1983)'],['中国大陆']
乱,https://movie.douban.com//subject//1296196//,8.8,"['剧情', '动作', '战争']",['(1985)'],['日本 / 法国']
哈利・波特与密室,https://movie.douban.com//subject//1296996//,8.3,"['奇幻', '冒险']",['(2002)'],['美国 / 英国 / 德国']
桃姐,https://movie.douban.com//subject//5977835//,8.3,['剧情'],['(2011)'],['香港']
不一样的天空,https://movie.douban.com//subject//1301617//,8.6,"['剧情', '爱情', '家庭']",['(1993)'],['美国']
银魂剧场版：新译红樱篇,https://movie.douban.com//subject//4122194//,9.1,"['喜剧', '动作', '动画', '古装']",['(2010)'],['日本']
弱点,https://movie.douban.com//subject//3552028//,8.4,"['剧情', '家庭', '传记', '运动']",['(2009)'],['美国']
十二公民,https://movie.douban.com//subject//24875534//,8.3,['剧情'],['(2014)'],['中国大陆']
我在伊朗长大,https://movie.douban.com//subject//1962116//,8.7,"['剧情', '动画', '传记']",['(2007)'],['法国 / 美国']
九品芝麻官,https://movie.douban.com//subject//1297518//,8.2,['02C0402‰§'],['(1994)'],[]
芝加哥,https://movie.douban.com//subject//1307697//,8.6,"['喜剧', '歌舞', '犯罪']",['(2002)'],['美国 / 德国']
角斗士,https://movie.douban.com//subject//1293530//,8.4,"['剧情', '动作', '历史', '冒险']",['(2000)'],['英国 / 美国']
寻子遇仙记,https://movie.douban.com//subject//1293270//,9.1,"['剧情', '喜剧', '家庭']",['(1921)'],['美国']
无人区,https://movie.douban.com//subject//3804891//,8.1,"['剧情', '犯罪', '西部']",['(2013)'],['中国大陆']
帕丁顿熊2,https://movie.douban.com//subject//26340419//,8.1,"['喜剧', '动画', '家庭']",['(2017)'],['英国 / 法国 / 美国']
哈利・波特与阿兹卡班的囚徒,https://movie.douban.com//subject//1291544//,8.3,"['剧情', '奇幻', '冒险']",['(2004)'],['英国 / 美国']
甲方乙方,https://movie.douban.com//subject//1303173//,8.3,['喜剧'],['(1997)'],['中国大陆']
奇怪的她,https://movie.douban.com//subject//24879820//,8.3,"['喜剧', '奇幻']",['(2014)'],['韩国']
阿黛尔的生活,https://movie.douban.com//subject//10535568//,8.3,"['剧情', '爱情', '同性']",['(2013)'],['法国 / 比利时 / 西班牙 / 突尼斯']
暖暖内含光,https://movie.douban.com//subject//1308777//,8.4,"['剧情', '爱情', '奇幻']",['(2004)'],['美国']
A山节考,https://movie.douban.com//subject//1296703//,8.9,['剧情'],['(1983)'],['日本']
我的野蛮女友,https://movie.douban.com//subject//1292286//,8.1,"['剧情', '喜剧', '爱情']",['(2001)'],['韩国']
淘金记,https://movie.douban.com//subject//1298817//,9.0,"['喜剧', '爱情', '家庭', '西部', '冒险']",['(1925)'],['美国']
大都会,https://movie.douban.com//subject//1298107//,8.9,"['剧情', '科幻']",['(1927)'],['德国']
卡罗尔,https://movie.douban.com//subject//10757577//,8.2,"['剧情', '爱情', '同性']",['(2015)'],['英国 / 美国']
回到未来,https://movie.douban.com//subject//1300555//,8.5,"['喜剧', '科幻', '冒险']",['(1985)'],['美国']
生之欲,https://movie.douban.com//subject//1293847//,9.1,['剧情'],['(1952)'],['日本']
共同警备区,https://movie.douban.com//subject//1306664//,8.7,"['剧情', '惊悚', '战争']",['(2000)'],['韩国']
洛城机密,https://movie.douban.com//subject//1292348//,8.7,"['剧情', '悬疑', '惊悚', '犯罪']",['(1997)'],['美国']
影子武士,https://movie.douban.com//subject//1303067//,8.9,"['剧情', '历史', '战争']",['(1980)'],['美国 / 日本']
悬崖上的金鱼姬,https://movie.douban.com//subject//1959877//,8.3,"['动画', '奇幻', '冒险']",['(2008)'],['日本']
八恶人,https://movie.douban.com//subject//25787888//,8.4,"['剧情', '犯罪', '西部']",['(2015)'],['美国']
四百击,https://movie.douban.com//subject//1300056//,8.7,"['剧情', '犯罪']",['(1959)'],['法国']
艾特熊和赛娜鼠,https://movie.douban.com//subject//6518638//,8.8,['动画'],['(2012)'],['法国']
狼的孩子雨和雪,https://movie.douban.com//subject//7064681//,8.5,"['剧情', '动画', '家庭', '奇幻']",['(2012)'],['日本']
万物理论,https://movie.douban.com//subject//24815950//,8.2,"['剧情', '爱情', '传记']",['(2014)'],['英国 / 美国 / 日本']
